id,codigo,codigo_siars,nome_abreviado,designacao,objetivo,formula,unidade_de_medida,output,estado_do_indicador,area,subarea,dimensao,tipo_de_indicador,area_clinica,inclusao_de_utentes_no_indicador,prazo_para_registos,link,nome_indicador,min_aceitavel,min_esperado,max_esperado,max_aceitavel,intervalo_aceitavel,intervalo_esperado,indexing,id_sdm
1,3.12.01,2013.001.01,Proporção de consultas realizadas pelo MF,Proporção de consultas realizadas pelo respetivo médico de família,Monitorizar o acesso dos utentes ao seu próprio médico de família e a capacidade de intersubstituição dos médicos da unidade de saúde,AA / BB x 100,%,Proporção de contactos,Com dados desde Dezembro de 2012,Desempenho,Acesso,Personalização,Processo,Transversal,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=001&CLUSTERS=S,Proporção de consultas realizadas pelo MF,75.0,78.0,90.0,92.0,[75; 92],[78; 90],1 proporcao de consultas realizadas pelo mf proporcao de consultas realizadas pelo respetivo medico de familia desempenho acesso personalizacao processo transversal,[1](https://sdm.min-saude.pt/BI.aspx?id=001&CLUSTERS=S)
2,3.15.01,2013.002.01,Taxa de utilização global de consultas médicas,Taxa de utilização global de consultas médicas,Avaliar o acesso a consultas médicas pela população inscrita.,AA / BB x 100,%,Proporção de utentes,Com dados desde Dezembro de 2012,Desempenho,Acesso,Cobertura ou Utilização,Processo,Transversal,Utentes inscritos à data de referência do indicador,5 dias,https://sdm.min-saude.pt/BI.aspx?id=002&CLUSTERS=S,Taxa de utilização global de consultas médicas,66.0,73.5,85.0,90.0,[66; 90],[73.5; 85],2 taxa de utilizacao global de consultas medicas taxa de utilizacao global de consultas medicas desempenho acesso cobertura ou utilizacao processo transversal,[2](https://sdm.min-saude.pt/BI.aspx?id=002&CLUSTERS=S)
3,4.18.01,2013.003.01,Taxa de domicílios médicos por 1.000 inscritos,Taxa de consultas médicas no domicílio por 1.000 inscritos,Permite monitorizar produtividade relacionada com a realização de domicílios médicos.,AA / BB x 1.000,por 1.000,Taxa de consultas domiciliárias (Méd.),Com dados desde Dezembro de 2012,Desempenho,Acesso,Cobertura ou Utilização,Processo,Transversal,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=003&CLUSTERS=S,Taxa de domicílios médicos por 1.000 inscritos,12.0,18.0,35.0,40.0,[12; 40],[18; 35],3 taxa de domicilios medicos por 1.000 inscritos taxa de consultas medicas no domicilio por 1.000 inscritos desempenho acesso cobertura ou utilizacao processo transversal,[3](https://sdm.min-saude.pt/BI.aspx?id=003&CLUSTERS=S)
4,4.30.01,2013.004.01,Taxa de domicílios enfermagem por 1.000 inscritos,Taxa de consultas de enfermagem no domicílio por 1.000 inscritos,Permite monitorizar produtividade relacionada com a realização de domicílios de enfermagem.,AA / BB x 1.000,por 1.000,Taxa de consultas domiciliárias (Enf.),Com dados desde Dezembro de 2012,,,,Processo,Transversal,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=004&CLUSTERS=S,,,,,,,,4 taxa de domicilios enfermagem por 1.000 inscritos taxa de consultas de enfermagem no domicilio por 1.000 inscritos nan nan nan processo transversal,[4](https://sdm.min-saude.pt/BI.aspx?id=004&CLUSTERS=S)
5,3.12.02,2013.005.01,Proporção de consultas realizadas pelo EF,Proporção de consultas realizadas pelo respetivo enfermeiro de família,Monitorizar o acesso dos utentes ao seu próprio enfermeiro de família e a capacidade de intersubstituição dos enfermeiros da unidade de saúde.,AA / BB x 100,%,Proporção de contactos,Com dados desde Dezembro de 2012,Desempenho,Acesso,Personalização,Processo,Transversal,Utentes inscritos em pelo menos um dia do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=005&CLUSTERS=S,Proporção de consultas realizadas pelo EF,65.0,70.0,88.0,92.0,[65; 92],[70; 88],5 proporcao de consultas realizadas pelo ef proporcao de consultas realizadas pelo respetivo enfermeiro de familia desempenho acesso personalizacao processo transversal,[5](https://sdm.min-saude.pt/BI.aspx?id=005&CLUSTERS=S)
6,3.15.02,2013.006.01,Taxa de utilização de consultas médicas - 3 anos,Taxa de utilização global de consultas médicas nos últimos 3 anos,Avaliar o acesso a consultas médicas pela população inscrita.,AA / BB x 100,%,Proporção de utentes,Com dados desde Dezembro de 2012,Desempenho,Acesso,Cobertura ou Utilização,Processo,Transversal,Utentes inscritos à data de referência do indicador,5 dias,https://sdm.min-saude.pt/BI.aspx?id=006&CLUSTERS=S,Taxa de utilização de consultas médicas - 3 anos,75.0,88.0,100.0,100.0,[75; 100],[88; 100],6 taxa de utilizacao de consultas medicas - 3 anos taxa de utilizacao global de consultas medicas nos ultimos 3 anos desempenho acesso cobertura ou utilizacao processo transversal,[6](https://sdm.min-saude.pt/BI.aspx?id=006&CLUSTERS=S)
7,7.10,2013.007.01,Proporção utiliz. referenciados p/ consulta hosp.,Proporção de utilizadores referenciados para consulta hospitalar,Monitorizar a taxa de referenciação hospitalar de unidades de saúde,AA / BB x 100,%,Proporção de utilizadores,Com dados desde Dezembro de 2012,,,,Processo,Transversal,Utentes utilizadores durante o período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=007&CLUSTERS=S,,,,,,,,7 proporcao utiliz. referenciados p/ consulta hosp. proporcao de utilizadores referenciados para consulta hospitalar nan nan nan processo transversal,[7](https://sdm.min-saude.pt/BI.aspx?id=007&CLUSTERS=S)
8,3.22.01,2013.008.01,Taxa de utilização de consultas de PF (méd./enf.),Taxa de utilização de consultas de planeamento familiar (médicas ou de enfermagem),Monitorizar a utilização das consultas de saúde reprodutiva e planeamento familiar (PF) pelas mulheres em idade fértil (MIF),AA / BB x 100,%,Proporção de mulheres,Com dados desde Dezembro de 2012,Desempenho,Gestão da Saúde,Saúde da Mulher,Processo,Planeamento Familiar,Utentes inscritos à data de referência do indicador,5 dias,https://sdm.min-saude.pt/BI.aspx?id=008&CLUSTERS=S,Taxa de utilização de consultas de PF (méd./enf.),38.0,60.0,100.0,100.0,[38; 100],[60; 100],8 taxa de utilizacao de consultas de pf (med./enf.) taxa de utilizacao de consultas de planeamento familiar (medicas ou de enfermagem) desempenho gestao da saude saude da mulher processo planeamento familiar,[8](https://sdm.min-saude.pt/BI.aspx?id=008&CLUSTERS=S)
9,3.22.02,2013.009.01,Taxa de utilização de consultas de PF (enf.),Taxa de utilização de consultas de enfermagem de planeamento familiar,Monitorizar a utilização das consultas de enfermagem de saúde reprodutiva e planeamento familiar (PF) pelas mulheres em idade fértil (MIF),AA / BB x 100,%,Proporção de mulheres,Com dados desde Dezembro de 2012,Desempenho,Gestão da Saúde,Saúde da Mulher,Processo,Planeamento Familiar,Utentes inscritos à data de referência do indicador,5 dias,https://sdm.min-saude.pt/BI.aspx?id=009&CLUSTERS=S,Taxa de utilização de consultas de PF (enf.),25.0,42.0,75.0,80.0,[25; 80],[42; 75],9 taxa de utilizacao de consultas de pf (enf.) taxa de utilizacao de consultas de enfermagem de planeamento familiar desempenho gestao da saude saude da mulher processo planeamento familiar,[9](https://sdm.min-saude.pt/BI.aspx?id=009&CLUSTERS=S)
10,3.22.03,2013.010.01,Taxa de utilização de consultas de PF (méd.),Taxa de utilização de consultas médicas de planeamento familiar,Monitorizar a utilização das consultas médicas de saúde reprodutiva e planeamento familiar (PF) pelas mulheres em idade fértil (MIF),AA / BB x 100,%,Proporção de mulheres,Com dados desde Dezembro de 2012,Desempenho,Gestão da Saúde,Saúde da Mulher,Processo,Planeamento Familiar,Utentes inscritos à data de referência do indicador,5 dias,https://sdm.min-saude.pt/BI.aspx?id=010&CLUSTERS=S,Taxa de utilização de consultas de PF (méd.),25.0,45.0,55.0,65.0,[25; 65],[45; 55],10 taxa de utilizacao de consultas de pf (med.) taxa de utilizacao de consultas medicas de planeamento familiar desempenho gestao da saude saude da mulher processo planeamento familiar,[10](https://sdm.min-saude.pt/BI.aspx?id=010&CLUSTERS=S)
