,id,Nome abreviado,Designação,Descrição do Indicador,Área | Subárea | Dimensão,Intervalo Esperado,Intervalo Aceitável,Área clínica,Anos Disponíveis,Intervalo Aceitável 2023,Mínimo Aceitável 2023,Máximo Aceitável 2023,Intervalo Aceitável 2024,Mínimo Aceitável 2024,Máximo Aceitável 2024,Intervalo Esperado 2023,Mínimo Esperado 2023,Máximo Esperado 2023,Intervalo Esperado 2024,Mínimo Esperado 2024,Máximo Esperado 2024,ide,idg,search_indexes,link_sdm,bicsp
0,1,Proporção de consultas realizadas pelo MF,Proporção de consultas realizadas pelo respetivo médico de família,"Indicador que exprime a proporção de consultas que cada médico realiza aos utentes da respetiva lista.
Numerador: Contagem de consultas presenciais realizadas pelo próprio médico de família.
Denominador: Contagem de consultas presenciais realizadas por qualquer médico da unidade de saúde.",Desempenho | Acesso | Personalização,"Ano de 2023: [78; 90]
Ano de 2024: [78; 90]","Ano de 2023: [75; 92]
Ano de 2024: [70; 92]",Transversal,"2023, 2024",[75; 92],75.0,92.0,[70; 92],70.0,92.0,[78; 90],78.0,90.0,[78; 90],78.0,90.0,False,True,1 proporcao de consultas realizadas pelo mf proporcao de consultas realizadas pelo respetivo medico de familia transversal desempenho | acesso | personalizacao,https://sdm.min-saude.pt/BI.aspx?id=1,True
1,10,Taxa de utilização de consultas de PF (méd.),Taxa de utilização de consultas médicas de planeamento familiar,"Indicador que exprime a proporção de MIF, que tiveram uma consulta médica de planeamento familiar nos últimos 12 meses.
Numerador: Contagem de MIF que tiveram pelo menos uma consulta médica de planeamento familiar nos últimos 12 meses.
Denominador: Contagem de MIF.",Desempenho | Gestão da Saúde | Saúde da Mulher,"Ano de 2023: [45; 55]
Ano de 2024: [45; 55]","Ano de 2023: [25; 65]
Ano de 2024: [25; 65]",Planeamento Familiar,"2023, 2024",[25; 65],25.0,65.0,[25; 65],25.0,65.0,[45; 55],45.0,55.0,[45; 55],45.0,55.0,False,False,10 taxa de utilizacao de consultas de pf (med.) taxa de utilizacao de consultas medicas de planeamento familiar planeamento familiar desempenho | gestao da saude | saude da mulher,https://sdm.min-saude.pt/BI.aspx?id=10,True
2,100,Taxa utiliz. consultas médicas ou enferm. - 3 anos,Taxa de utilização global de consultas médicas ou de enfermagem nos últimos 3 anos,"Indicador que exprime a proporção de utentes inscritos que tiveram consulta médica ou de enfermagem, de qualquer tipo, nos últimos 3 anos.
Numerador: Contagem de utentes inscritos com pelo menos uma consulta médica (presencial ou não presencial), ou de enfermagem (presencial ou não presencial), nos últimos 3 anos.
Denominador: Contagem de utentes inscritos.",Desempenho | Acesso | Cobertura ou Utilização,"Ano de 2023: [91; 97]
Ano de 2024: [91; 97]","Ano de 2023: [86; 100]
Ano de 2024: [86; 100]",Transversal,"2023, 2024",[86; 100],86.0,100.0,[86; 100],86.0,100.0,[91; 97],91.0,97.0,[91; 97],91.0,97.0,False,False,100 taxa utiliz. consultas medicas ou enferm. - 3 anos taxa de utilizacao global de consultas medicas ou de enfermagem nos ultimos 3 anos transversal desempenho | acesso | cobertura ou utilizacao,https://sdm.min-saude.pt/BI.aspx?id=100,True
3,101,Número UCs hipertensos (ativ. específ.),Número de unidades de contratualização relacionadas com vigilância de utentes com hipertensão arterial (atividades específicas),"Score que exprime o número de unidades de contratualização relacionadas com vigilância adequada de utentes com hipertensão arterial (atividades específicas).
Numerador: Produto entre o [número de utentes com hipertensão arterial com acompanhamento adequado] e o [fator de ponderação 2].
Denominador: Contagem de médicos da unidade.",---,---,---,Hipertensão Arterial,"2023, 2024",---,,,---,,,---,,,---,,,False,False,101 numero ucs hipertensos (ativ. especif.) numero de unidades de contratualizacao relacionadas com vigilancia de utentes com hipertensao arterial (atividades especificas) hipertensao arterial ---,https://sdm.min-saude.pt/BI.aspx?id=101,False
4,102,Número UCs diabéticos (ativ. específ.),Número de unidades de contratualização relacionadas com vigilância de utentes com diabetes (atividades específicas),"Score que exprime o número de unidades de contratualização relacionadas com vigilância adequada de utentes com diabetes (atividades específicas).
Numerador: Produto entre o [número de utentes com diabetes com acompanhamento adequado] e o [fator de ponderação 4].
Denominador: Contagem de médicos da unidade.",---,---,---,Diabetes Mellitus,"2023, 2024",---,,,---,,,---,,,---,,,False,False,102 numero ucs diabeticos (ativ. especif.) numero de unidades de contratualizacao relacionadas com vigilancia de utentes com diabetes (atividades especificas) diabetes mellitus ---,https://sdm.min-saude.pt/BI.aspx?id=102,False
5,103,Número UCs grávidas (ativ. específ.),Número de unidades de contratualização relacionadas com vigilância de grávidas (atividades específicas),"Score que exprime o número de unidades de contratualização relacionadas com vigilância adequada de grávidas(atividades específicas).
Numerador: Produto entre o [número de grávidas com acompanhamento adequado] e o [fator de ponderação 8].
Denominador: Contagem de médicos da unidade.",---,---,---,Saúde Materna,"2023, 2024",---,,,---,,,---,,,---,,,False,False,103 numero ucs gravidas (ativ. especif.) numero de unidades de contratualizacao relacionadas com vigilancia de gravidas (atividades especificas) saude materna ---,https://sdm.min-saude.pt/BI.aspx?id=103,False
6,104,Número UCs PF (ativ. específ.),Número de unidades de contratualização relacionadas com planeamento familiar de mulheres em idade fértil (atividades específicas),"Score que exprime o número de unidades de contratualização relacionadas com vigilância adequada em planeamento familiar nas mulheres em idade fértil (atividades específicas).
Numerador: Produto entre o [número de mulheres em idade fértil com acompanhamento adequado relacionado com ""planeamento familiar""] e o [fator de ponderação 1].
Denominador: Contagem de médicos da unidade.",---,---,---,Planeamento Familiar,"2023, 2024",---,,,---,,,---,,,---,,,False,False,104 numero ucs pf (ativ. especif.) numero de unidades de contratualizacao relacionadas com planeamento familiar de mulheres em idade fertil (atividades especificas) planeamento familiar ---,https://sdm.min-saude.pt/BI.aspx?id=104,False
7,105,Número UCs s. infantil 1º ano (ativ. específ.),Número de unidades de contratualização relacionadas com vigilância de crianças no 1º ano de vida (atividades específicas),"Score que exprime o número de unidades de contratualização relacionadas com vigilância adequada de crianças durante o seu 1º ano de vida (atividades específicas).
Numerador: Produto entre o [número de crianças com acompanhamento adequado em saúde infantil durante o 1º ano de vida] e o [fator de ponderação 7].
Denominador: Contagem de médicos da unidade.",---,---,---,Saúde Infantil e Juvenil,"2023, 2024",---,,,---,,,---,,,---,,,False,False,105 numero ucs s. infantil 1o ano (ativ. especif.) numero de unidades de contratualizacao relacionadas com vigilancia de criancas no 1o ano de vida (atividades especificas) saude infantil e juvenil ---,https://sdm.min-saude.pt/BI.aspx?id=105,False
8,106,Número UCs s. infantil 2º ano (ativ. específ.),Número de unidades de contratualização relacionadas com vigilância de crianças no 2º ano de vida (atividades específicas),"Score que exprime o número de unidades de contratualização relacionadas com vigilância adequada de crianças durante o seu 2º ano de vida (atividades específicas).
Numerador: Produto entre o [número de crianças com acompanhamento adequado em saúde infantil durante o 2º ano de vida] e o [fator de ponderação 3].
Denominador: Contagem de médicos da unidade.",---,---,---,Saúde Infantil e Juvenil,"2023, 2024",---,,,---,,,---,,,---,,,False,False,106 numero ucs s. infantil 2o ano (ativ. especif.) numero de unidades de contratualizacao relacionadas com vigilancia de criancas no 2o ano de vida (atividades especificas) saude infantil e juvenil ---,https://sdm.min-saude.pt/BI.aspx?id=106,False
9,107,Percent. de consultas realizadas pelo MF,Percentagem de consultas ao utente pelo seu próprio médico de família,"Indicador que exprime a proporção de consultas que cada médico realiza aos utentes da respetiva lista.
Numerador: Contagem de consultas presenciais realizadas pelo próprio médico de família.
Denominador: Contagem de consultas presenciais.",---,---,---,Transversal,"2023, 2024",---,,,---,,,---,,,---,,,False,False,107 percent. de consultas realizadas pelo mf percentagem de consultas ao utente pelo seu proprio medico de familia transversal ---,https://sdm.min-saude.pt/BI.aspx?id=107,False
10,108,Taxa de utilização global de consultas,Taxa de utilização global de consultas,"Indicador que exprime a proporção de utentes inscritos que tiveram consulta médica, de qualquer tipo, no período em análise.
Numerador: Contagem de utentes inscritos com pelo menos uma consulta médica presencial ou não presencial nos últimos 12 meses.
Denominador: Contagem de utentes inscritos.",---,---,---,Transversal,"2023, 2024",---,,,---,,,---,,,---,,,False,False,108 taxa de utilizacao global de consultas taxa de utilizacao global de consultas transversal ---,https://sdm.min-saude.pt/BI.aspx?id=108,False
11,109,Taxa de utilização de consultas de PF (méd.),Taxa de utilização de consultas médicas em planeamento familiar,"Indicador que exprime a proporção de MIF, que tiveram uma consulta médica de planeamento familiar nos últimos 12 meses.
Numerador: Contagem de MIF que tiveram pelo menos uma consulta médica de planeamento familiar nos últimos 12 meses.
Denominador: Contagem de MIF.",---,---,---,Planeamento Familiar,"2023, 2024",---,,,---,,,---,,,---,,,False,False,109 taxa de utilizacao de consultas de pf (med.) taxa de utilizacao de consultas medicas em planeamento familiar planeamento familiar ---,https://sdm.min-saude.pt/BI.aspx?id=109,False
