id,ano,intervalo_esperado,intervalo_aceitavel,min_aceitavel,max_aceitavel,min_esperado,max_esperado
8,2023,[60; 100],[38; 100],38.0,100.0,60.0,100.0
11,2023,[91; 100],[85; 100],85.0,100.0,91.0,100.0
20,2023,[67; 100],[45; 100],45.0,100.0,67.0,100.0
23,2023,[80; 100],[65; 100],65.0,100.0,80.0,100.0
34,2023,[72; 100],[60; 100],60.0,100.0,72.0,100.0
36,2023,[75; 100],[60; 100],60.0,100.0,75.0,100.0
37,2023,[87; 100],[70; 100],70.0,100.0,87.0,100.0
39,2023,[70; 100],[55; 100],55.0,100.0,70.0,100.0
45,2023,[60; 100],[41; 100],41.0,100.0,60.0,100.0
46,2023,[67; 100],[45; 100],45.0,100.0,67.0,100.0
49,2023,[60; 100],[30; 100],30.0,100.0,60.0,100.0
54,2023,[60; 100],[40; 100],40.0,100.0,60.0,100.0
63,2023,[85; 100],[65; 100],65.0,100.0,85.0,100.0
95,2023,[95; 100],[95; 100],95.0,100.0,95.0,100.0
98,2023,[93; 100],[85; 100],85.0,100.0,93.0,100.0
261,2023,[87; 100],[70; 100],70.0,100.0,87.0,100.0
269,2023,[0.87; 1],[0.7; 1],0.7,1.0,0.87,1.0
274,2023,[82; 100],[65; 100],65.0,100.0,82.0,100.0
275,2023,[70; 100],[55; 100],55.0,100.0,70.0,100.0
294,2023,[570; 1500],[300; 1500],300.0,1500.0,570.0,1500.0
295,2023,[77; 100],[51; 100],51.0,100.0,77.0,100.0
302,2023,[0.93; 1],[0.82; 1],0.82,1.0,0.93,1.0
308,2023,[80; 100],[60; 100],60.0,100.0,80.0,100.0
310,2023,[0.79; 1],[0.62; 1],0.62,1.0,0.79,1.0
311,2023,[0.54; 1],[0.4; 1],0.4,1.0,0.54,1.0
312,2023,[0.43; 1],[0.3; 1],0.3,1.0,0.43,1.0
314,2023,[0; 12],[0; 22],0.0,22.0,0.0,12.0
315,2023,[48; 100],[33; 100],33.0,100.0,48.0,100.0
330,2023,[0.82; 2],[0.75; 2],0.75,2.0,0.82,2.0
331,2023,[0.76; 2],[0.65; 2],0.65,2.0,0.76,2.0
335,2023,[85; 100],[80; 100],80.0,100.0,85.0,100.0
341,2023,[0; 130],[0; 140],0.0,140.0,0.0,130.0
354,2023,[0; 42.5],[0; 49],0.0,49.0,0.0,42.5
365,2023,[0; 650],[0; 950],0.0,950.0,0.0,650.0
380,2023,[81; 100],[74; 100],74.0,100.0,81.0,100.0
384,2023,[94; 100],[89; 100],89.0,100.0,94.0,100.0
397,2023,[22; 100],[15; 100],15.0,100.0,22.0,100.0
404,2023,[60; 10000],[20; 10000],20.0,10000.0,60.0,10000.0
409,2023,[91.5; 100],[89; 100],89.0,100.0,91.5,100.0
412,2023,[60; 85],[40; 95],40.0,95.0,60.0,85.0
435,2023,[66; 100],[62; 100],62.0,100.0,66.0,100.0
436,2023,[70; 100],[35; 100],35.0,100.0,70.0,100.0
437,2023,[49; 100],[35; 100],35.0,100.0,49.0,100.0
8,2024,[60; 100],[38; 100],38.0,100.0,60.0,100.0
11,2024,[91; 100],[85; 100],85.0,100.0,91.0,100.0
20,2024,[67; 100],[45; 100],45.0,100.0,67.0,100.0
23,2024,[80; 100],[60; 100],60.0,100.0,80.0,100.0
34,2024,[72; 100],[55; 100],55.0,100.0,72.0,100.0
36,2024,[75; 100],[60; 100],60.0,100.0,75.0,100.0
37,2024,[87; 100],[70; 100],70.0,100.0,87.0,100.0
39,2024,[70; 100],[50; 100],50.0,100.0,70.0,100.0
45,2024,[60; 100],[37; 100],37.0,100.0,60.0,100.0
46,2024,[65; 100],[45; 100],45.0,100.0,65.0,100.0
49,2024,[60; 100],[30; 100],30.0,100.0,60.0,100.0
54,2024,[60; 100],[40; 100],40.0,100.0,60.0,100.0
63,2024,[80; 100],[65; 100],65.0,100.0,80.0,100.0
95,2024,[95; 100],[90; 100],90.0,100.0,95.0,100.0
98,2024,[93; 100],[80; 100],80.0,100.0,93.0,100.0
261,2024,[87; 100],[70; 100],70.0,100.0,87.0,100.0
269,2024,[0.87; 1],[0.7; 1],0.7,1.0,0.87,1.0
