id_indicadorname,label,parent,value,tipo,operacionalizar,valor_operacionalizado
1001,Desempenho,Desempenho,,50.0,área
1002,Serviços,Serviços,,10.0,área
1003,Qualidade Organizacional,Qualidade Organizacional,,20.0,área
1004,Formação,Formação,,10.0,área
1005,Atividade Científica,Atividade Científica,,10.0,área
2001,Acesso,Acesso,Desempenho,10.0,subárea
2002,Gestão da Saúde,Gestão da Saúde,Desempenho,10.0,subárea
2003,Gestão da Doença,Gestão da Doença,Desempenho,10.0,subárea
2004,Qualificação da Prescrição,Qualificação da Prescrição,Desempenho,10.0,subárea
2021,Satisfação de Utentes,Satisfação de Utentes,Desempenho,10.0,subárea
2005,Serviços Assistenciais,Serviços Assistenciais,Serviços,8.0,subárea
2006,Serviços não Assistenciais,Serviços não Assistenciais,Serviços,2.0,subárea,
2007,Melhoria Contínua,Melhoria Contínua,Qualidade Organizacional,8.0,subárea,
2008,Formação Interna,Formação Interna,Formação,8.0,subárea
2022,Formação Externa,Formação Externa,Formação,2.0,subárea
2009,Segurança,Segurança,Qualidade Organizacional,8.0,subárea,
2010,Centralidade no Cidadão,Centralidade no Cidadão,Qualidade Organizacional,4.0,subárea,
2023,Autoria de Artigos Escritos,Autoria de Artigos Escritos,Atividade Científica,5.0,subárea
2024,Trabalhos de Investigação,Trabalhos de Investigação,Atividade Científica,5.0,subárea
2025,Personalização,Personalização,Acesso,1.0,dimensão
2026,Cobertura ou Utilização,Cobertura ou Utilização,Acesso,1.0,dimensão
2027,Saúde da Mulher,Saúde da Mulher,Gestão da Saúde,2.5,dimensão
2028,Hipertensão Arterial,Hipertensão Arterial,Gestão da Doença,2.5,dimensão
2029,Saúde do Idoso,Saúde do Idoso,Gestão da Saúde,2.5,dimensão
2030,Saúde do Adulto,Saúde do Adulto,Gestão da Saúde,2.5,dimensão
2031,Diabetes Mellitus,Diabetes Mellitus,Gestão da Doença,2.5,dimensão
2032,Doenças Aparelho Respiratório,Doenças Aparelho Respiratório,Gestão da Doença,2.5,dimensão
2033,Saúde Infantil e Juvenil,Saúde Infantil e Juvenil,Gestão da Saúde,2.5,dimensão
2034,Prescrição Farmacoterapêutica,Prescrição Farmacoterapêutica,Qualificação da Prescrição,5.0,dimensão
2035,Prescrição MCDT,Prescrição MCDT,Qualificação da Prescrição,3.0,dimensão
2036,Tempos Máximos de Resposta Garantidos,Tempos Máximos de Resposta Garantidos,Acesso,4.0,dimensão
2037,Consulta no Próprio Dia,Consulta no Próprio Dia,Acesso,1.0,dimensão
2038,Distribuição das Consultas Presenciais no Dia,Distribuição das Consultas Presenciais no Dia,Acesso,1.0,dimensão
2039,Multimorbilidade e Outros Tipos de Doenças,Multimorbilidade e Outros Tipos de Doenças,Gestão da Doença,2.5,dimensão
2041,Governação Clínica,Governação Clínica,Serviços não Assistenciais,1.6,dimensão
2043,Prog. Melh. Contínua Qual. e Proc. Assist. Integr.,Prog. Melh. Contínua Qual. e Proc. Assist. Integr.,Melhoria Contínua,6.0,dimensão
2044,Formação da Equipa Multiprofissional,Formação da Equipa Multiprofissional,Formação Interna,4.0,dimensão
2045,Formação de Internos e Alunos,Formação de Internos e Alunos,Formação Interna,4.0,dimensão
2046,Segurança de Utentes,Segurança de Utentes,Segurança,3.2,dimensão
2047,Participação do Cidadão,Participação do Cidadão,Centralidade no Cidadão,4.0,dimensão
2049,Serviços de Carácter Assistencial,Serviços de Carácter Assistencial,Serviços Assistenciais,8.0,dimensão
2050,Acesso MCQ,Acesso MCQ,Melhoria Contínua,2.0,dimensão
2051,Atendimento Telefónico,Atendimento Telefónico,Acesso,1.0,dimensão
2052,Trajeto do Utente na Unidade Funcional,Trajeto do Utente na Unidade Funcional,Acesso,1.0,dimensão
2053,Prescrição de Cuidados,Prescrição de Cuidados,Qualificação da Prescrição,2.0,dimensão
2054,Outras Atividades não Assistenciais,Outras Atividades não Assistenciais,Serviços não Assistenciais,0.4,dimensão
2055,Segurança de Profissionais,Segurança de Profissionais,Segurança,2.4,dimensão
2056,Gestão do Risco,Gestão do Risco,Segurança,2.4,dimensão
1,Proporção de consultas realizadas pelo MF,1 - Proporção de consultas realizadas pelo MF,Personalização,0.5,indicador
3,Taxa de domicílios médicos por 1.000 inscritos,3 - Taxa de domicílios médicos por 1.000 inscritos,Cobertura ou Utilização,0.2,indicador
