;Dimensão;Nome;Ponderação;Anos Disponíveis;Intervalo Aceitável 2023;Mínimo Aceitável 2023;Máximo Aceitável 2023;Intervalo Aceitável;Mínimo Aceitável 2024;Máximo Aceitável 2024;Intervalo Esperado 2023;Mínimo Esperado 2023;Máximo Esperado 2023;Intervalo Esperado;Mínimo Esperado 2024;Máximo Esperado 2024;Lable;Intervalo esperado;Intervalo aceitável;min_esperado;max_esperado;min_aceitavel;max_aceitavel;Nome abreviado;Resultado;Score;Mês Ind;Hierarquia Contratual - Área;contributo
0;IDE;Acesso;20.0;;;;;;;;;;;;;;Acesso;;;;;;;;10.0;1;;;10.0
1;IDE;Gestão da Doença;21.0;;;;;;;;;;;;;;Gestão da Doença;;;;;;;;10.5;1;;;10.5
2;IDE;Gestão da Saúde;24.0;;;;;;;;;;;;;;Gestão da Saúde;;;;;;;;12.0;1;;;12.0
3;IDE;Integração de Cuidados;17.0;;;;;;;;;;;;;;Integração de Cuidados;;;;;;;;8.5;1;;;8.5
4;IDE;Qualificação da Prescrição;18.0;;;;;;;;;;;;;;Qualificação da Prescrição;;;;;;;;9.0;1;;;9.0
5;Acesso;8 - Taxa de utilização de consultas de PF (méd./enf.);4.0;;"[38; 100]";38.0;100.0;"[38; 100]";38.0;100.0;"[60; 100]";60.0;100.0;"[60; 100]";60.0;100.0;8;"[60;100]";"[38;60[U]100;100]";60.0;100.0;38.0;100.0;Taxa de utilização de consultas de PF (méd./enf.);49.0;1;202401.0;IDE - Desempenho;2.0
6;Acesso;294 - Taxa domicílios enferm. p/ 1000 inscritos idosos;4.0;;"[300; 1500]";300.0;1500.0;"[150; 1500]";150.0;1500.0;"[570; 1500]";570.0;1500.0;"[500; 1500]";500.0;1500.0;294;"[500;1500]";"[150;500[U]1500;1500]";500.0;1500.0;150.0;1500.0;Taxa domicílios enferm. p/ 1000 inscritos idosos;325.0;1;202401.0;IDE - Desempenho;2.0
7;Acesso;330 - Índice de utilização anual de consultas médicas;5.0;;"[0.75; 2]";0.75;2.0;"[0.7; 2]";0.7;2.0;"[0.82; 2]";0.82;2.0;"[0.82; 2]";0.82;2.0;330;"[0,82;2]";"[0,7;0,82[U]2;2]";0.82;2.0;0.7;2.0;Índice de utilização anual de consultas médicas;0.76;1;202401.0;IDE - Desempenho;2.5
8;Acesso;331 - Índice de utilização anual de consultas enferm.;5.0;;"[0.65; 2]";0.65;2.0;"[0.6; 2]";0.6;2.0;"[0.76; 2]";0.76;2.0;"[0.76; 2]";0.76;2.0;331;"[0,76;2]";"[0,6;0,76[U]2;2]";0.76;2.0;0.6;2.0;Índice de utilização anual de consultas enferm.;0.68;1;202401.0;IDE - Desempenho;2.5
9;Acesso;335 - Prop. cons. ind. receit. c/ resposta 3 dias úteis;2.0;;"[80; 100]";80.0;100.0;"[80; 100]";80.0;100.0;"[85; 100]";85.0;100.0;"[85; 100]";85.0;100.0;335;"[85;100]";"[80;85[U]100;100]";85.0;100.0;80.0;100.0;Prop. cons. ind. receit. c/ resposta 3 dias úteis;82.5;1;202401.0;IDE - Desempenho;1.0
